web-scraper-order,web-scraper-start-url,Titre,Etat_Clim,Adresse,Prix,url,url-href,url_image-src
"1738160806-90","https://www.expat-dakar.com/climatisation","SPLIT SAMSUNG DOUBLE INVERTER NEW MODÈLE","Neuf","Plateau,
                                                                                Dakar","298 000 F Cfa","SPLIT SAMSUNG DOUBLE INVERTER NEW MODÈLE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 13:25
                                    
                    298 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/split-samsung-double-inverter-new-modele-5802658","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0902777f32424cbac7f59b32d7331078/-/horizon-files-prod/ed/picture/qkr5zw98/98d4dea7198ee67d2800bcaab04c347a968aec73.jpg"
"1738160826-91","https://www.expat-dakar.com/climatisation","SPLIT 12000BTU HISENSE INVERTER 1.5CV","Neuf","Plateau,
                                                                                Dakar","229 000 F Cfa","SPLIT 12000BTU HISENSE INVERTER 1.5CV
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 12:45
                                    
                    229 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/split-12000btu-hisense-inverter-15cv-5802664","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c9017067ba7804aecf70401334c7024/-/horizon-files-prod/ed/picture/qen5k6g2/4352598ef7edea935c3c42d477e96bc5f553613d.jpg"
"1738160846-92","https://www.expat-dakar.com/climatisation","SPLIT 1CV INVERTER HAIER 9000BTU","Neuf","Plateau,
                                                                                Dakar","189 000 F Cfa","SPLIT 1CV INVERTER HAIER 9000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 12:14
                                    
                    189 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/split-1cv-inverter-haier-9000btu-5812836","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa85c42bf3def2611b89dccad7649da8/-/horizon-files-prod/ed/picture/qkr5e49j/5f22b0d0eff45e545939375f0fa9e458bfbebcdc.jpg"
"1738160867-93","https://www.expat-dakar.com/climatisation","SPLIT HAIER 1.5CV INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","219 000 F Cfa","SPLIT HAIER 1.5CV INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Hier, 16:49
                                    
                    219 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/split-haier-15cv-inverter-12000btu-5812857","https://i.roamcdn.net/hz/ed/listing-thumb-543w/67511fd4741755144ec952cdc28e74d4/-/horizon-files-prod/ed/picture/qgqgev5e/ba5a06634a9f827892b035425ae59096520c9e25.jpg"
"1738160887-94","https://www.expat-dakar.com/climatisation","SPLIT HAIER 1.5CV 12000BTU R410","Neuf","Plateau,
                                                                                Dakar","189 000 F Cfa","SPLIT HAIER 1.5CV 12000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 15:27
                                    
                    189 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/split-haier-15cv-12000btu-r410-5812878","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f47abe031f4df056be6171a89004411a/-/horizon-files-prod/ed/picture/qm5rez5w/c3e589abc65426683482e1bade550e817243043f.jpg"
"1738160908-95","https://www.expat-dakar.com/climatisation","SPLIT PORTATIF ROCH 9000BTU 1000W","Neuf","Plateau,
                                                                                Dakar","169 000 F Cfa","SPLIT PORTATIF ROCH 9000BTU 1000W
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 19:21
                                    
                    169 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/split-portatif-roch-9000btu-1000w-5821908","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b6bbb374112eb5b1cc137d579c1b552/-/horizon-files-prod/ed/picture/q8vz6774/34158e208d5a5abfefb478eee15c0ef427b03b9a.jpg"
"1738160928-96","https://www.expat-dakar.com/climatisation","SPLIT HAIER 24000BTU ALLEGE INVERTER + LIAISON","Neuf","Plateau,
                                                                                Dakar","749 000 F Cfa","SPLIT HAIER 24000BTU ALLEGE INVERTER + LIAISON
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        2. janv., 11:20
                                    
                    749 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-haier-24000btu-allege-inverter-liaison-5823229","https://i.roamcdn.net/hz/ed/listing-thumb-543w/453d9c1ea918dfb40c2f744e8a10155e/-/horizon-files-prod/ed/picture/qq4d0jgz/fa477304438614d0ac1037755ba4c2e484f8fb0b.jpg"
"1738160949-97","https://www.expat-dakar.com/climatisation","SPLIT HAIER 18000BTU INVERTER ALLEGE + LIAISON","Neuf","Plateau,
                                                                                Dakar","685 000 F Cfa","SPLIT HAIER 18000BTU INVERTER ALLEGE + LIAISON
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. janv., 14:53
                                    
                    685 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/split-haier-18000btu-inverter-allege-liaison-5823268","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b17dbe9ff14a28c98da845ae95f058e/-/horizon-files-prod/ed/picture/qv4p875m/0b9a1966c3cdaee2693d2355b2a34c8c374f9642.jpg"
"1738160969-98","https://www.expat-dakar.com/climatisation","SPLIT 1.5CV SMART TECHNOLOGY 12000BTU R410","Neuf","Plateau,
                                                                                Dakar","149 000 F Cfa","SPLIT 1.5CV SMART TECHNOLOGY 12000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        15. janv., 13:19
                                    
                    149 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/split-15cv-smart-technology-12000btu-r410-5823284","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c26a861498eee4dc2dbd8f95512d2907/-/horizon-files-prod/ed/picture/qdew8vjg/465dffac03f80f09c797005dfcdc694c29ed3e35.jpg"
"1738160989-99","https://www.expat-dakar.com/climatisation","SPLIT 1.5CV DESKA 12000BTU R410","Neuf","Plateau,
                                                                                Dakar","159 000 F Cfa","SPLIT 1.5CV DESKA 12000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 15:26
                                    
                    159 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/split-15cv-deska-12000btu-r410-5823293","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00540ecf70225d657049d0b0ab052153/-/horizon-files-prod/ed/picture/qngd6mkx/3750f96ec00336a57bf7de3a05f0d15dea7eb1fc.jpg"
